,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
useReagent,useReagent,UseReagent,Was a reagent applied to the sample,True,,"['No', 'YesUseReagent']",,Genotyping
Filename,Filename,Filename,Name of the file. This helps to link annotations from metadata files.,True,,,,Genotyping
reagentManufacturer,reagentManufacturer,ReagentManufacturer,"The manufacturer is the source of a reagent and may include commercial vendors as well as non-commercial sources (e.g., collaborating labs)",False,,,,Genotyping
countryCode,countryCode,CountryCode,"Indicate the geographic region for the individual (shown as ex. ""840"")",True,,"['612', '484', '440', '788', '470', '410', '458', '254', '166', '112', '348', '528', '582', '558', '212', '762', '620', '048', '196', 'EAS', '531', '140', '204', '434', '162', '188', '360', '566', '533', '384', '246', '208', '690', '084', '262', '694', '288', '334', '064', '580', '036', '080', '480', '670', '324', '784', '776', '116', '800', '837', '144', '010', '100', '574', '608', '876', '426', '070', '720', '810', '276', '239', '454', '703', '732', '740', '591', '214', '414', '012', '296', '417', '496', '643', '716', '860', '430', '238', 'Not collected', '492', '752', 'ECS', '376', '604', '380', '275', '388', '585', '320', '120', '466', '108', '854', '570', '702', '524', '760', '060', '340', '191', '344', '499', '050', '562', '674', '504', '250', '849', '040', '364', '584', '024', '890', '258', '372', '508', '400', '768', '654', '662', 'Unknown', '031', '834', '292', '356', '203', '706', '616', '124', '170', '398', '638', '728', '646', '092', '516', '316', '076', '882', '328', '231', '634', '729', '474', 'SSF', '218', '200', '222', '266', '074', '795', '242', '178', '368', '659', '260', '104', '578', '136', '704', '072', '898', '068', '132', '020', '710', 'MEA', '500', 'SAS', '051', '234', '156', '226', '278', '548', '058', '450', '598', '642', '232', '308', '478', '535', '408', '008', '086', '352', '536', '624', '392', '772', '807', '192', '016', '090', '583', '418', '312', '626', '862', '586', '230', '796', '724', '534', '000', '175', '332', '792', '490', '184', '028', '498', '268', '600', '300', '686', '512', '705', '148', '660', '422', '891', '446', '748', 'LCN', 'NAC', '818', '032', '096', '270', '052', '756', '152', 'Not applicable', '736', '798', '056', '174', '520', '462', '826', '336', '540', '804', '004', '530', '666', '764', '180', '682', 'Other', '887', '894', '304', '442', '838', '780', '839', '858', '428', '581', '840', '678', '554', '044', '233', '404']",,IndividualHuman
cohort,cohort,Cohort,Name of the cohort the individual belongs to,True,,"['Centenarian', 'US Family', 'Aging', 'and Body Composition Study (HealthABC)', 'Other', 'Denmark Family', 'Unknown', 'The Health', 'Cardiovascular Health Study (CHS)', 'The Osteoporotic Fractures in Men (MrOS) Study', 'Not applicable', 'Study of Osteoporotic Fractures (SOF)', 'Not collected']",,IndividualHuman
sex,sex,Sex,The biological sex of the individual,True,,"['Male', 'Other', 'Unknown', 'Female', 'Not applicable', 'Not collected']",,IndividualHuman
diagnosisStatus,diagnosisStatus,DiagnosisStatus,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), ""True"" indicates the individual has been diagnosed",True,,"['TRUE', 'FALSE', 'Unknown', 'Not applicable', 'Not collected']",,IndividualHuman
race,race,Race,Race of individual,True,,,,IndividualHuman
visitCode,visitCode,VisitCode,"Indicate which longitudinal visit for the individual the data comes from, provided by the data contributor's data dictionary",True,,,,IndividualHuman
studyCode,studyCode,StudyCode,"Unique identifier for the study, assigned by the DCC",True,,"['LG', 'ILO', 'LLFS', 'LC']",,IndividualHuman
consentGroupID,consentGroupID,ConsentGroupID,"Indicate the consent group for the individual, provided by the data contributor's data dictionary",True,,"['1', '2', '3']",,IndividualHuman
speciesGroup,speciesGroup,SpeciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,True,,"['Mammal', 'Human', 'Other', 'Unknown', 'Rodent', 'Not applicable', 'Primate', 'Bird', 'Not collected']",,IndividualHuman
ethnicity,ethnicity,Ethnicity,Ethnicity of individual,True,,"['Prefer not to answer', 'Other', 'Unknown', 'Not applicable', 'Not Hispanic or latino', 'Hispanic or latino', 'Not collected']",,IndividualHuman
ethnicGroupCode,ethnicGroupCode,EthnicGroupCode,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",False,,,,IndividualHuman
age,age,Age,"Age of the individual (age in years of the individual at first recorded study event (enrollment, visit, observation, sample collection, survey completion, etc.)",True,,,,IndividualHuman
Component,Component,Component,TBD,False,,,,IndividualHuman
fieldCenterCode,fieldCenterCode,FieldCenterCode,Name of the field center ,True,,"['PT', 'Other', 'NY', 'Unknown', 'BU', 'DK', 'Not applicable', 'Not collected']",,IndividualHuman
diagnosis,diagnosis,Diagnosis,Indicate the disease or condition.,False,,,,IndividualHuman
individualID,individualID,IndividualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",True,,,,IndividualHuman
parentSpecimenID,parentSpecimenID,ParentSpecimenID,"Unique identifier for the direct Parent from which the Specimen was derived, processed, pooled, etc. (if applicable)",False,,,,BiospecimennonHuman
organ,organ,Organ,Indicate the organ the specimen is from,True,,"['Ceruminous Gland', 'Foot Digit Skin', 'Male Urethra', 'Skin of the Buttock', 'Submental Lymph Node Group (Sublevel IA)', 'Duct of Gartner', 'Spermatic Cord', 'Laryngeal Mucous Salivary Gland', 'Draining Lymph Node', 'Circumanal Gland', 'Skin of the Upper Extremity', 'Ureter', 'Neck Skin', 'Vagina', 'Bile Duct', 'Sternum', 'Paraaortic Lymph Node', 'Thymus Gland', 'Left Ear', 'Fundic Gland', 'Skin of the Lower Limb and Hip', 'Hilar Portion of the Right Hepatic Duct', 'Sacral Lymph Node', 'Cervical Gland', 'Cochlear Duct', 'Gland of Moll', 'Epididymis', 'Intercalated Duct', 'Lower Gastrointestinal Tract Lymph Node', 'Skene Gland', 'Female Urethra', 'Perifacial Lymph Node', 'Pyloric Gland', 'Accessory Lacrimal Gland', 'Efferent Duct', 'Intrahepatic Bile Duct', 'Left Lung', 'Submandibular Duct', 'Skin of the Bending Joint', 'Seromucous Salivary Gland', 'Adrenal Gland', 'Intrahepatic Large Bile Duct', 'Spinal Cord', 'Lung', 'Duct of the Epididymis', 'Neck Lymph Node Boundary Sublevel VB', 'Left Fallopian Tube', 'Liver', 'Superior Parathyroid Gland', 'Seminal Vesicle', 'Retroauricular Lymph Node', 'Presacral Lymph Node', 'Prelaryngeal Lymph Node', 'Supraclavicular Lymph Node', 'Inferior Mediastinal Lymph Node', 'Interlobular Duct', 'Left Eye', 'Right Ovary', 'Left Lung Alveolar Duct', 'Left Kidney', 'Right Breast', 'Spleen', 'Vas Deferens', 'Parapharyngeal Lymph Node', 'Wrist Skin', 'Colon Lymph Node', 'Elbow Skin', 'Pharyngeal Tonsil', 'Glabrous Skin', 'Paracaval Lymph Node', 'Submandibular Lymph Node', 'Sebaceous Gland Duct', 'Tongue', 'Mesenteric Lymph Node', 'Brachial Lymph Node', 'Cardiophrenic Lymph Node', 'Thyroid Gland', 'Palatine Salivary Gland', 'Distal 1/3 of the Common Bile Duct', 'Lymph Node', 'Main Pancreatic and Accessory Ducts', 'Neck Lymph Node Boundary Level III', 'Right Ureter', 'Penis', 'Nose', 'Interlobular Bile Duct', 'Buccal Lymph Node', 'Pregnant Uterus', 'Apocrine Sweat Gland', 'Paralaryngeal Lymph Node', 'Both Eyes', 'Skin of the Trunk', 'Skin Of The Back', 'Ovary', 'Lymph Node by Anatomic Site', 'Hand Digit Skin', 'Tracheobronchial Lymph Node', 'Organ of Special Sense', 'Endocrine Gland', 'Bartholin Gland', 'Right Kidney', 'Skin of the Scalp and Neck', 'Arm Skin', 'Vertebral', 'Superior Mediastinal Lymph Node Group (Level VII)', 'Right Seminal Vesicle', 'Non-Glabrous Skin', 'Bronchial Tree', 'Perihilar Lymph Node', 'Common Bile Duct', 'Ileum Lymph Node', 'Ear', 'Lower Jugular Lymph Node Group (Level IV)', 'Palatine Tonsil', 'Alveolar Duct', 'Left Breast', 'Lymph Node of Inguinal Region or Leg', 'Ductus Santorini', 'Iliac Lymph Node', 'Lactiferous Duct', 'Fallopian Tube', 'Testis', 'Parotid Gland', 'Skin of the Lower Extremity', 'Upper Jugular Lymph Node Group (Sublevels IIA and IIB)', 'Right Lung', 'Right Lymphatic Duct', 'External Iliac Lymph Node', 'Skin of the Infrascapular Region', 'Hand Skin', 'Epitrochlear Lymph Node', 'Pretracheal Lymph Node', 'Vulva', 'Nuchal Lymph Node', 'Epigastric Lymph Node', 'Eye', 'Endocrine Ovary', 'Parotid Duct', 'Duct', 'Skin of the Face', 'Abdominal Skin', 'Ear Skin', 'Humerus', 'Ejaculatory Duct', 'Leg Skin', 'Right Lung Alveolar Duct', 'Skin of the Palm', 'Exocrine Pancreas', 'Peritoneal Lymph Node', 'Female Breast', 'Splenic Lymph Node', 'Parathyroid Gland', 'Sublingual Lymph Node', 'Anterior Compartment Lymph Node Group (Level VI)', 'Bone Marrow', 'Scalene Lymph Node', 'Left Ureter', 'Intra-Abdominal Lymph Node', 'Intrahepatic Portion of the Right Hepatic Duct', 'Anal Sac', 'Lingual Salivary Gland', 'Exocrine Gland', 'Skin Around the Eye', 'Scalp', 'Serous Salivary Gland', 'Other', 'Nasolacrimal Duct', 'Skin Between the Eyebrows', 'Subsegmental Lymph Node', 'Breast', 'Mediastinal Lymph Node', 'Pancreas', 'Submandibular Gland', 'Retroperitoneal Lymph Node', 'Neck Lymph Node Boundary Level VI', 'Middle Jugular Lymph Node Group (Level III)', 'Neck Lymph Node Boundary Levels I-IV', 'Pectoral Lymph Node', 'Median Or Lower Cervical Lymph Node', 'Left Adrenal Gland', 'Montgomery Tubercle', 'Biliary Tract', 'Rib', 'Intrathyroidal Parathyroid', 'Paratracheal Lymph Node', 'Male Prepuce', 'Foot Skin', 'Intercalated Duct of the Pancreas', 'Sebaceous Gland of the Eyelash', 'Gland of Krause', 'Superficial Lymph Node', 'Right Eye', 'Aortopulmonary Window Lymph Node', 'Cervical Lymph Node', 'Stomach', 'Pancreatic Lymph Node', 'Gland', 'Left Seminal Vesicle', 'Right Testis', 'Right Ear', 'Skin of the Forearm', 'Cystic Duct', 'Porta Hepatis Lymph Node', 'Prostate Gland', 'Urethral Gland', 'Axillary Lymph Node Level I', 'Hepatic Lymph Node', 'Medial Supraclavicular Lymph Node', 'Neck Lymph Node Boundary Levels and Sublevels', 'Submental Lymph Node', 'Esophageal Gland', 'Neck Lymph Node Boundary Sublevel IB', 'Hepatic Duct', 'Endocrine Testis', 'Intrathoracic Lymph Node', 'Inguinal Lymph Node', 'Fixed Lymph Node', 'Pituitary Gland', 'Eccrine Sweat Gland', 'Right Fallopian Tube', 'Aortocaval Lymph Node', 'Pineal Gland', 'Hilar Portion of the Hepatic Duct', 'Scapula', 'Flexural Skin', 'Renal Lymph Node', 'Mucous Salivary Gland', 'Obturator Lymph Node', 'Superficial Cervical Lymph Node', 'Skin of the Inguinal Region', 'Skin Of The Axilla', 'Right Adrenal Gland', 'Occipital Scalp', 'Diaphragmatic Lymph Node', 'Head and Neck Lymph Node', 'Neck Lymph Node Boundary Sublevel IA', 'Striated Duct', 'Subcarinal Lymph Node', 'Gonad', 'Uterus', 'Peristomal Skin', 'Internal Iliac Lymph Node', 'Sentinel Lymph Node', 'Neck Lymph Node Boundary Sublevel IIB', 'Suprapubic Skin', 'Utriculosaccular Duct', 'Pancreatic Duct', 'Skin Around the Mouth', 'Knee Skin', 'Neck Lymph Node Boundary Level VII', 'Axillary Lymph Node', 'Skin of the Chest', 'Gastrohepatic Lymph Node', 'Head Skin', 'Tonsil', 'Sebaceous Gland', 'Sweat Gland Duct', 'Right Hepatic Duct', 'Retropharyngeal Lymph Node', 'Left Ovary', 'Urethra', 'brain', 'Semicircular Duct', 'Portal Lymph Node', 'Gland of Littre', 'Thoracic Lymph Node', 'Popliteal Lymph Node', 'Axillary Lymph Node Level II', 'Lingual Tonsil', 'Cardia Gland', 'Buccal Salivary Gland', 'Neck Lymph Node Boundary Sublevel IIA', 'Esophageal Lymph Node', 'Neck Lymph Node Boundary Level IV', 'Prostatic Duct', 'Parotid Gland Lymph Node', 'Trachea', 'Neck Lymph Node Groups', 'Gallbladder', 'Pulmonary Hilar Lymph Node', 'Femur', 'Skinfold', 'Cowper Gland', 'Gastric Lymph Node', 'Common Hepatic Duct', 'Mammary Gland', 'Upper Cervical Lymph Node', 'Not collected', 'Skin of the Upper Limb and Shoulder', 'Female Prepuce', 'Male Breast', 'Minor Salivary Gland', 'Retrocrural Lymph Node', 'Kidney', 'Skin of the Lip', 'Branch Duct', 'Salivary Gland', 'Sublingual Salivary Gland', 'Pelvic Lymph Node', 'Internal Mammary Lymph Node', 'Bronchial Lymph Node', 'Prepuce', 'Lacrimal Gland', 'Left Hepatic Duct', 'Thoracic Duct', 'Anal Gland', 'Skin', 'Esophagus', 'Unknown', 'Eyelid Skin', 'Portacaval Lymph Node', 'Regional Lymph Node', 'Intramammary Lymph Node', 'Scrotum', 'Pericardial Lymph Node', 'Mullerian Duct', 'Left Testis', 'Bladder', 'Retrosacral Lymph Node', 'Gastric Curvature Lymph Node', 'Neck Lymph Node Boundary Levels II-IV', 'Labial Salivary Gland', 'Sweat Gland', 'Upper Paratracheal Lymph Node', 'Extra-Abdominal Lymph Node', 'Axillary Lymph Node Level III', 'Skin Of The Chin', 'Intercalated Duct of the Salivary Gland System', 'Intrahepatic Portion of the Left Hepatic Duct', 'Meibomian Gland', 'Posterior Triangle Lymph Node Group (Sublevels VA and VB)', 'Perirectal Lymph Node', 'Deep Cervical Lymph Node', 'Skin of the Sole', 'Inferior Parathyroid Gland', 'Distant Lymph Node', 'Occipital Lymph Node', 'Heart', 'Hilar Portion of the Left Hepatic Duct', 'Extrahepatic Bile Duct', 'Skin of the Extremity', 'Tracheobronchial Tree', 'Gland of Wolfring', ""Brunner's Gland"", 'Anterior Mediastinal Lymph Node', 'Major Salivary Gland', 'Infraclavicular Lymph Node', 'Not applicable', 'Distal Common Bile Duct', 'Interval Lymph Node', 'Preauricular Lymph Node', 'Tibia', 'Neck Lymph Node Boundary Sublevel VA', 'Endocrine Sex Organ', 'Intestine', 'Femoral Lymph Node', 'Ankle Skin', 'Common Iliac Lymph Node', 'Celiac Lymph Node', 'Posterior Cervical Lymph Node', 'Intercostal Lymph Node', 'Splenic Hilar Lymph Node', 'Submandibular Lymph Node Group (Sublevel IB)']",,BiospecimennonHuman
tissueWeight,tissueWeight,TissueWeight,The mass of the tissue specimen. Measured in mg.,True,,"['Not applicable', 'Unknown', 'Not collected']",,BiospecimennonHuman
